"","x"
"340","Bahubali but liberals enjoy Caribbean pirate movies without blinking eye shutting brain"
"341","Bahubali star Prabhas about Thala Cc"
"342","the Movie visuals are very good it has a nice story tooThe guys Prabhas and Rana are awesomeWatch it Bahubali"
"343","Yday Aamir selling Bhajrangi B wid croco tears ampden Salman asks 4 tax sops Hw else 2beat Bahubali dificult 2 acpt change"
"344","lets focus on bahubali If u have seen the movie Can u hold a falling statue with the rope sagging"
"345","Thank you for the continuing feedback about my column on Bahubali 48hours of being abused cant overshadow the flood of suppoive tweets"
"346","bahubali is a well made movie with amazing visuals Would have been better if they had avoided the over the top sequences"
"347","Movie NightRanveer Singh at PVR last night after watching Bahubali in Adidas snapback amp trainers and Diesel jeans"
"348","Bahubali thriller ever then BajrangiBhaijaangood work"
"349","Also woh reading Aditi Banerjees review of Bahubali pls see"
"350","My aicle on Bahubali "
"351","Long and draggy 1st half needless Fast and exciting 2nd halfVfx is awesome Bahubali was oookay good"
"352","Bahubali Malayalam Screens Nb TamilTelugu Currently Running In 130 Screens"
"353","DearGlad you amp Producers took Crazy risks Thank you So much for Fantastic BahubaliHats off to Entire team"
"354","Should i go fr Bahubali"
"355","bahubali Lolz gud morng meeh enjoy kro"
"356","Guptaji you are contemporary with Govinda type movies Bahubali is not your cup of tea Try Hero1"
"357","After watching Bahubali i think dat our bollywood directors should take a class from South Indian directors What say"
"358","Never had this kind of madness to watch a movie you lived up to all the expectations sir ssrajamouli a visual treat Bahubali Prabhas"
"359","If Bahubali would have been a competition in south BajrangiBhaijaan would have collected 4344 cr on Sunday easily"
"360","Bahubali Today Paper Ad Running Successfully"
"361","Kattappais a fantastic character in BahubaliSathyaraj Bravoperfect select"
"362","Should not Bahubali lift the Kaaba too lest it send across the wrong message to Indian Muslims  "
"363","Bahubali b4 amp after marriage"
"364","Bahubali the movie retained our culture heritage and presented to the world the way it should be"
"365","Question in Forbes magazine Why cant China make a movie like Bahubali"
"366","Question in Forbes magazine Why cant China make a movie like Bahubali"
"367","Bahubali watched Bahubaliwow is the only descriptionnever saw a movie like this b4 its much better than 300"
"368","Wow I havent seen Bahubali yet but yr description of Film recalled me Arab Islam of 1000 AD You must be ashamed of"
"369","Attack on Bahubali by noted so called liberal Journalists has staed"
"370","Everyone is telling me to watch Bahubali"
"371","I came across a feminist editorial which said Bahubali is sexist and racist I cant imagine a worse takeaway from the movie"
"372","another wannabe trying 2 provoke 2 get sum attnsame old trick tried again n againis anybody falling for it Bahubali"
"373","what about thisDhosindha chedinche baanamWhat does that meanBahubali"
"374","Bahubali Pa 2 poster released"
"375","According to presstitutes d success of Bahubali is becoz not only bahubali is communal majority indians are communal amp antisecular"
"376","C Venkareswarlu also told me that RGVs next will beat Bahubali records"
"377","Do you know The story writer of BAHUBALI and BAJRANGIBHAIJAAN is Same personhis name is Vijayendra Prasad"
"378","Bahubali took 8 years to completeAkshay Kumar could have released at least 96 movies during this timeAkshay1 Bahubali0"
"379","CID investigating Kattappa for killing of Bahubali See this Funny Memes Bahubali movie"
"380","can someone translate lyrics of song Mamathala Talli into english please Really want to know what it meansBahubali"
"381","RW is able set the agenda Looking at the love Bahubali got from you libtards are forced to react"
"382","bahubali has also broke the record of interval period The biggest ever 1 year"
"383","Saw Bahubaliyesterday Truly awestruck wit d brilliance of screenplay and VFX Amazed"
"384","2015 has been good so far for IndianCinema with movies like Piku BajrangiBhaijaan n Bahubali"
"385","sir what an OUTSTANDING role you did in Bahubali goosebumps BREATHTAKING MOVIE"
"386","tarkash of the movie BahubaliThe Beginning"
"387","Bahubali is hated fr d social msg it didnt intend to giveRaees celebrating life of a Muz gangster will b let off as Enteainment"
"388","Bahubali Prabas About Thala Even he speak about Suriya and Kahi Where is our Vijay anna "
"389","has the potential to make Bahubali pa 2 into a world wide hitU should take Bharat to the World"
"390","sir Gupta had only this to say about Bahubali"
"391","bahubali superb direction brilliant acting and a brilliant film woh watching"
"392","Withciting severe objections to bahubali should not the movie be taken off screens"
"393","its a kind of curse after NaMo n fans its was It was Indn culture now movies attacked by media but sharp vl win like Bahubali"
"394","Those who are comparing collection of BajrangiBhaijaan and Bahubali should also compare a budget and ticket cost But both are great"
"395","I hv never seen such image of Indian cinema like Bahubali Extremely waiting for 2016"
"396","So how many people watched secular MasterpieceBajrangiBhaijaan or Communal Bahubali according to Presstitutes"
"397","BajarangiBhaijaan The best movie of Only braveheaed can releasea week after a big hit like Bahubali Hats off Bhaijan"
"398","Acan praise Teesta amp abuse Modi equals to minions likepraising Lord of Rings amp abusing Bahubali"
"399","Presstitutes have staed targeting movies now Done with Namo and his followers Why this outrage on Bahubali Retards dont get it"
"400","Imagining thekingarrives theme 4m ayirathil 1van 4 bahubali Lvlepicwts ur tot"
"401","2015 my favourite and best movies inimeyipaadithaanBahubali BajrangiBhaijaan"
"402","the hero uprooting Shiva Linga carrying it to river to help his mother worship it symbolizes Bahubali"
"403","Ready to watch BahubaliExtremely high expectations"
"404","Bahubali is woh watching epic parallels with some Hollywood battles Kudos tofor mostexpensiveindianfilm"
"405","Next week koda continue Aus lo bahubali "
"406","Finally got ticket for Bahubaliwhole weekend was packed got two tickets for tonight from friend who cancelled his plan"
"407","One of those junglee dude in Bahubali resembledI think thats why he has issues with the movie"
"408","But definitely the movie Bahubali is woh watching Most impressive thing was its attention to detail"
"409","Plz follow  LaithAbuJodaBahubali"
"410","Proud Moment2 the Rajamouli family Father writes Salmans finest filmamp son makes Indian Cinema Proud Bahubali BajrangiBhaijaan"
"411","Bahubali 2 should get released on next Eid Raees and Sultan will become kangal"
"412","ultimate reply tololmax Baahubali Bahubali D"
"413","Watching Bahubali was like having an awesome 5 star lunch But just when you wanna end with desse u r thrown out with a kick on the butt"
"414","I had respect n very carefully rdng or wtchng Shrkar Saabs worknow hmm aftr rdng this twin twts onBahubali"
"415","Bahubali is more expensive and expressive movie than BB"
"416","1stin bollywood cr club100CGhajini200C3idiots300CYjhd400CChennaiexpress500cD3700CPkll 600C Bahubali"
"417","Apa from receiving appreciations People making fun of Bahubali everywhere Heres one such thing"
"418","Jumped on the bandwagon and watched Bahubali Its been a long time since Ive seen a solid Telugu movie WohWatchingInTheater"
"419","as Hindu right winger I respect views on Bahubali though I disagree Speak against item culture amp well suppo you"
"420","i thinkji most respect is commenting without seein or understndin the movie racist Baahubali Bahubali"
"421","Loved Bahubali Dont miss it while its still in theaters Signing off from the bay area"
"422","here is the answer to annabaahubali bahubali"
"423","is supposed to be warlord Pls stop being racistBaahubali Bahubali 22"
"424","Watched bahubali baahubali Tamilcineworld o2 ilford uk straightham "
"425","Hardwork lead BahubaliThe Beginning to success"
"426","Seen BAHUBALI 3 Times and waiting for RUDHRAMADEVI Stereoscopic 3D Movie"
"427","Objectification of women is something Im personally against But dont agree Bahubali is the only culprit No selective outrage please"
"428","Bahubali aside Ill be happy to see whatthinks about the objectification of women through item song culture of Bollywood"
"429","Mstakes objection to the alleged objectification of women in Bahubali as though this is the first time its happening"
"430","for heavens sake stop politicizing Bahubali Baahubali"
"431","Bahubali Benchmark 300 cr in 9 days flatMakers lead actor paid themselves a pittance"
"432","Heres a post fromwhich shows how pseudo secularliberals are raging with jealousy about Bahubali"
"433","interpretation tat s extremely racist and UGLY Bahubali Baahubali 22"
"434","Indian film fans check out BahubaliShowing in Tamil amp Telugu amp opening in Hindi on 724 For times amp tix visit"
"435","Bahubali takes Indian cinema to the next level excellent visual retreat"
"436","totally agree What was all the hype about Bahubali"
"437","The dubbed Bahubalis Rs 54 cr collection is what Bwood should really worry about TamilTeluguMalayalamIts a flood waiting to happen"
"438","bahubaliFollow LaithAbuJoda"
"439","Heis upset at bothBJP 20 amp BahubalicuzBoth hv been successful without Secular Pimps amp Khans"
"440","After so long one film that still keeps going on and on in my mind even hours after viewing it Bahubali an extragavently spectacular work"
"441","Bahubali for me is the greatest movie ever made in India"
"442","Fish manicure in 1800s bahubali "
"443","Best movie ever BahubaliFar better than many Hollywood movies"
"444","Why libtards hate d success of BahubaliNo Khan in it No AllahAliMaula songIts totally Hinduno glorification of minoriiescopypaste"
"445","KCA VoteJKT48ID sanman shilpitewari If ShekharGupta was character in Bahubali he would demand reservation quota for Kalakeya and inte"
"446","KCA VoteJKT48ID sanman shilpitewari If ShekharGupta was character in Bahubali he would demand reservation quota for Kalakeya and inte"
"447","KCA VoteJKT48ID sanman shilpitewari If ShekharGupta was character in Bahubali he would demand reservation quota for Kalakeya and inte"
"448","Ifwas character in Bahubali he would demand reservation quota for Kalakeya and interview friend Bijjalabhaiya"
"449","someone plz translate Mamata Talli lyrics to english Lechindha khandinche khadgamDhosindha chedinche baanamBahubali"
"450","Bahubaliprobably the best movie Ive ever seen Amazing "
"451","ABSOLUTELYSHOCKING THAT LiberalLogic LIBTARDS PROPAGANDISTS ARE SPEWING HATREDFILTH AGAINST BahubaliHinduism"
"452","Bahubali was mesmerizing Thepaicular scenewhere crowd chanting Modi Modi was thrilling"
"453","m still wondering y not 50cr in one day whn evry show gng housefullamp hw cm Bahubali 50cr being in south"
"454","Did they get a notice from Maino or somethingEarn your keep go through adarshliberal checklist for bahubali"
"455","adarshliberals grasping at straws with Bahubali Trying to throwkitchen sink at it amp hoping something sticks"
"456","hdl Bahubali I am unable to get tickets in chennai for the whole week for Tamil version"
"457","Someone on Facebook has written that bahubali is a mind BOBLING movie"
"458","I heard Katappa more than Bahubali in the movie Bahubali should be renamed as Katappaaaaa Bahubali Bahubalistorm"
"459","ebrandbay Film brief Amazing screenplayGreat story hea warming dialogues and beautiful writing BajrangiBhaijaan Bahubali"
"460","BajiraoMastani Spectacular And after Bahubali BajrangiBhaijaan our AdarshLiberals will have more stuff 2outrage"
"461","Slum dog Millionaire was very coolisnt itMost awful film porayal of tribals in Bahubali Dark scar"
"462","BajrangiBhaijaan or BahubaliAny comparisons"
"463","Gaytri plex RatlamSUNBB203942100 occupancy Bahubali34024100 occ ALL SHOWS MORNING TO NIGHT HOUSEFULLRECORD CREATED"
"464","Who can destroy me Bahubali"
"465","Indian film fans check out BahubaliShowing in Tamil amp Telugu amp opening in Hindi on 724 For times amp tix visit"
"466","Apt analysis of the sexist songdance in Bahubali"
"467","Got to watch Bahubali because many lowlife trolls in media have labelled it as somekind of Hindutva leaning moviewhatever that means"
"468","Cannot get over how brilliantly Bahubali is done cinematically What a story Seen it twice already dheevara "
"469","bahubali the beginning of next level of Indian Cinema As a viewerWaiting for 2016 release Hardwork nvr failes"
"470","Whatey movie Bahubali Best ever effectsIndian version of 300 Cant wait for the conclusion"
"471","Now that you have reviewed Bahubali as per ur IQ levelKindly decipher this also for us"
"472","Still difficult to get a ticket for BahubaliWhat is happening  Bahubalistorm"
"473","BajrangiBhaijaan officially beats Bahubali net collections India n becomes first IndianFilm to collect 100cr Weekend Bahubali was 99cr"
"474","Tribals I thought they were fictional villains mouthing some strange languageBahubali"
"475","there was no rape in Bahubali Saw twiceShivudu makes Avanthika aware of her beauty amp she surrenders to him"
"476","When I saw bahubali my reaction was Amazing finally India did itWhen I sawI was speechless Masterpiece"
"477","This amp the handover of Avanthikas mission to the prince Only saving grace was Sivagamis strength Bahubali"
"478","Bahubaliis awesomewaiting for the conclusion"
"479","7 on 10 for Bahubali8 on 10 if songless Congrats ton team Several steps ahead for Indian cinema Bollywood watch out"
"480","Halfway into Bahubali just wow Rajamouli is way ahead of other Indian creators"
"481","Bahubali was just an epic movie"
"482","Bahubali is a true magnum opus havent seen anything like it in Indian cinema Was woh concluding the weekend with enjoyed thoroughly"
"483","Finally I saw Bahubali today Its stupid and superb at the same time"
"484","Oh Yes I forgot to talk about Bahubali Nice Movie Waiting for the ConclusionBring it onOne of the best Director ever"
"485","all those Feminists here is an other POV from ur fellow feminist on AVANTHIKA baahubali Bahubali"
"486","Translations are good Just remember pa two is a flash back so you are clear Enjoy baahubali Bahubali"
"487","BajrangiBhaijaan officially beats Bahubali net collections India n becomes first IndianFilm to collect 100cr Weekend Bahubali was 99cr"
"488","bahubali baahubali i am sure producers will not release anything against baahubali 2"
"489","Bahubali strong in 2nd weekBajrangiBhaijaanmust watch bothEnjoyed both चल बेटा सेल्फी ले ले"
"490","Just saw Bahubali Another must watch movie The simplicity became a mystery Will wait for 2016Bahubali BahubalistormTruly Madly"
"491","Leave apa the VFX and CGI Bahubali is an awesome enteainer"
"492","Cant believe we produced a film like Bahubali I can watch it againBahubalistorm wow now waiting for pa 2"
"493","Why I disagree with s piece on Avanthikas rape in Bahubali amp MadMax is my favorite feminist film"
"494","SICKular ecosystem of Bollywood is like Lutyen Delhi no Rank outsider allowed 2 breach itBahubali"
"495","It will be interesting to see now if they focus more on Bajrangi or BhaijaanBahubali 22"
"496","It is funny how Bhakts are trying to poray Bahubali as proHindu as if it was produced by RSS P 12"
"497","Sorry folks but you have to admit Bahubali might be amazing but bahubali is a crime against humanity"
"498","Also all Indian tribals ugly or handsome are Shiva bhaktas Hence the chanting of Shiva tandav stotram in Bahubali"
"499","Bahubali is pet bhar enteainment Great escapist fun Yet again Rajamoulis grand vision meets epic executionMaza aa gaya"
"500","AdarshLiberals hate Bahubali for very obvious reason his makers name is RSS gtgtgt Rajamouli SS"
"501","Bahubalibeware of this disgusting plagiaristyou IHs may repent"
"502","movie name itself inspires men to performbali of Bahu movie should have been banned Bahubali"
"503","lol you had to write something negative about the movie right LivesOfSoniaSlaves Bahubali"
"504","With all due respect sir its a fictional story not an NGC documentary on Indian tribes U shud knw better Bahubali"
"505","Epic movie bahubaliReally a technical masterpiece"
"506","Bahubali though i am happy about one thing hindus are desperate and trying to embrace anything symbolic of hindu"
"507","The Adimaipenn connection to bahubali MGR"
"508","Love the limelight he is gettingBahubali katappa"
"509","Bahubali good for being a tv show like gamesofthrones but an abrupt end makes it less fit for a movie"
"510","Salman Sir one Genuine question you never tweeted go watch BahubaliI guess only Khan Trilogy isnt"
"511","bahubali was a great movie it left me really curious Bahubali Prabhas anushka tammanah rana"
"512","Why did katapa kill Bahubali coz he knew about vyapam scam"
"513","Saw two of the most amazing movies yesterday Bahubali amp BajrangiBhaijaan And loved both of them"
"514","Even Bahubali Jokes shld be dubbed in all the languageslol Its hit in all of them"
"515","Y on eah do the knickerati think a criticism of BahubaliHindu bashing Sample the quality of theirjp86"
"516","if black had made this movie director porayed white as so called tribals Bahubali"
"517","All you internethindus better wait until rajamouli comes out in open defence of his Hinduness Bahubali"
"518","Bahubali is the hash tag to bring people back to limelight "
"519","Both the liberal idiots and hindus fools are wrong on the hindu significance of Bahubaliamusing all came out as retards in this"
"520","Y on eah do the knickerati think a criticism of BahubaliHindu bashing Sample the quality of their rj8p"
"521","Y on eah do the knickerati think a criticism of BahubaliHindu bashing Sample the quality of their rj8p"
"522","Reading decent reviews for BajrangiBhaijaan from all corners will watch it this week may be Bahubali is also in the pending list abhi"
"523","Bahubali resonated with masses as it triggers the subconscious Hindu memes Even with Hindi nonrelease fiasco worldwide crowds throwing"
"524","let us remember rajamouli didnt make Bahubali with any intention of promoteglorify hinduismjust side effect of set up in folk background"
"525","Just now watched Bahubali movie which was awesome Planning to watch it again"
"526","The mellifluous chants of Shiva tandav stotra literally gives goose bumps Listening on a loop Bahubali"
"527","Sirplease release background score of Bahubali into market as its audio Its haunting me everytime"
"528","Love the limelight he is gettingBahubali"
"529","Bahubali is exposing the total Deracination of its critics Shani effect Till now they could pretend to be wise Not anymore"
"530","Feel good thatwas pa of Bahubaliat least he can b d force to bring quality films to Indian film industry PerfectTogether"
"531","Directors of Bahubali1st hour South Indian Director2nd hour South Indian Director3rd hour CHRISTOPHER NOLAN"
"532","Sir Im from Chandigarh and Loved your Movie Bahubali Keep it up "
"533","Idiots finding faults wit BahuBaliDunno y they wanna kill aR they jealous tat aists r celebratedCinema has been facing lot of issues"
"534","Like in Bahubali we need to liberate the mental slaves for good of Indiailk fear reduxSonia Tataki"
"535","Bt No Doubt Bahubali is an Amazing n Epic Movie"
"536","Cant get over the Hangover of Bahubali already watched Twice feels as if living the Hindu epic era Will have to watch once more"
"537","Baby dum laga ke piku twmr Bahubali and now BajrangiBhaijaan what a FAB yr 2015 is turning out to be Movie god achche mood mein hai"
"538","As much as wot meney n hardwork is spent over Bahubali the BajrabgiBhaijaan will earn more and with easeN we still hope for an oscar"
"539","xians say no Hindus in Goatime for a Bahubali type movie on Lord Parasuram amp how he reclaimed land from sea"
"540","Whats wrong with liberalsFinding faults with a of cinemaStrangely I suppo bhakts here liberals are being too stupid Bahubali"
"541","Bahubali already created history In 9 days more than 300 crores And game is not over yet"
"542","Want to know why Seculiberals fuming at success of BahubaliCoz Bahubali k peeche RSS Rajamouli SS ka haath hai"
"543","Remember the director who gave bollywood their first 100C movie was from south ARMurugadoss Khans shud stop hatingBahubali"
"544","The simplicity became a mysteryBahubali KindaLikedIt NextBigThing movietimes PvrJuhu Friendszone"
"545","Bahubali super thriller great suspense unbelievable shooting splendid war everybody must watch instead bhahijan"
"546","Still cant stop thinking of those grand visuals amp amazing storytelling of Bahubali Indian Cinema at its best Bahubalistorm"
"547","Now youll come up with a theory thatBahubali porays Animal cruelty just because you couldnt realise it was CGI"
"548","Half way through Bahubali and liking it Huge jump in movie technology in India for sure eagerly looking for post intermission"
"549","please release Hindi version in London bahubali"
"550","Bahubali for me is the greatest movie ever made in India"
"551","Here chapter and verse to my tweet on Kalakeyas reference from hoary pastBahubali is an epic fantasy and history"
"552","Wish Team Bahubali appreciates ur effos tooBAHUBALI Proud Prabhas fan Respect"
"553","Adarsh Liberals are Losing their Sleep over BahubaliIts May2014 again for them Expect More venomous Dissing"
"554","Congratulations Mission Successful youre getting the attention you craved for Pay time Bahubali Bahubalistorm"
"555","Do you know that the writer of Bahubali also wrote the story of BhajrangiBhaijaan and he happens to be the father of"
"556","Bahubali must have taken it from BibleQuran as they say unbelievers are sexually immoral amp kill wherever you find them"
"557","Most of the BollyCelebs nd Adharshliberals going gaga ova BajrangiBhaijaan trying their level best to ignore or degrade Bahubali"
"558","DilDhadakneDo abcd2 Bahubali r films that I have to watch This week let see BajrangiBhaijaan one more time 1000 sure"
"559","Its obvious that AdarshLiberal outrage over Bahubali amp BajrangiBhaijaan bcoz Shiva amp Hanuman chalisa created communalism during EID"
"560","Another stomach burnby success of Bahubali Just check their hypocrisy via"
"561","Bahubali Beerbali  Source Whatsapp Forward"
"562","Y on eah do the knickerati think a criticism of BahubaliHindu bashing Sample the quality of their responses"
"563","Sir You must limit your critics to BajrangiBhaijaan type movies Bahubali kinda movies aint your foe Oppounists"
"564","Must say Movie review is not your cup of tea but you are excellent in your earlier job of PresstituteBahubali"
"565","Man why did you all watch Bahubali even though its gonna be on Sat max all the time about an year from now Along with Nayak"
"566","Oh hoso sorry to know This Presstitute did not get money hence negative Where was rape Bahubali Go watch BV"
"567","Ye kitna manipulate karenge aurBahubali Seriously one of the worst films I have ever seenSorry 2 ask bt ye film kaise chalri hai"
"568","Bahubali is a slap to hindu hating PK lovers THIS is the glory of India The scene where he lifts the Shiva Linga Absolute Favorite"
"569","jiur view on Bahubali is totally narrow mindeddint expect tis frm a reputed journo any plans to do caste politics"
"570","Retweeted Vande Mataram Sirthank you for a movie like Bahubali Its not only a"
"571","Retweeted Vande Mataram I will be very disappointed if Bahubali isnt the Oscar Pick from"
"572","Hollywood seemed minion in front of Indias Bahubali A superb movie that can zip up best of the critics in the industry Still awestruck"
"573","Am most amazed at how RW has adopted Bahubali and how it became a Hindu movie How long beforecongratulates"
"574","How comesee rapist in hero amp kalakeyas when movie doesnt even show it in passingWhatwouldFreudSay Bahubali"
"575","not only libtards RWers sud be dissing Bahubali too If we dont then it wud b suppoing proto Shiva girating with ItemGirls"
"576","not to undermine Bahubali but watching it I too missed MGR on screen Tamilcinema legends"
"577","on tuesday night Bahubali"
"578","Laughed upon for not watching Bahubali yet despite being a Telugu Social problems "
"579","Hi ABde if possible then do watch bahubali an indian epic bollywood film"
"580","Andhas clearly lost it Bahubali I hope he doesnt watch LOTR series like EVER"
"581","Real life Convict BajarangiBhaijaan is hero for AdarshLiberals and Prestitutesand they find Bahubali awful"
"582","Journalism days r over venturing into FILM reviewsIf YES then u need to IMPROVE a lot did a POOR job Bahubali"
"583","How much collection did PK ensure How far is Bahubali from PK"
"584","Basically Liberals are whining against Bahubali coz they belong to Kalakeya Clan"
"585","watched bajrangibhaijaan bahubali is also awesome movie"
"586","Bahubali Bahubali ni minchina movie tarvath teeddu1st try movie like magadeeraamp With due respect to"
"587","Kerala BO Weekend Top 71 Bahubali 2 KL10Patthu 3 Madhuranaranga 4 Premam 5 Love2476 Achadhin6 BajrangiBhaijaan7 Maari"
"588","must watch just came back frm movie n planning fr one more time amazingly done bysir and his team Bahubali "
"589","Saw Bahubali a second time Would rather see s masterpiece than help finance a criminal Bhaijaan pretending to be Bajrangi"
"590","for once heis not too off the mark This Bahubali is a disaster Indefensible abomination"
"591","Aaargh No tickets available for Bahubali"
"592","BahubaliWhoa What a movie Hats off to"
"593","I enjoyed 2ns half Bahubali my rating 35"
"594","Telugu movie after 3 years in theater Bahubali in Canada"
"595","So if something could work for Haider and PK why wouldnt it work for Bahubali as well Keep outraging AdarshLiberals"
"596","BahubaliWhoa What a movie Hats off to"
"597","Why did Kattappa killed Bahubali Write your thoughts The best ones will be Retweeted Bahubalistorm"
"598","superb last 20 minspeople was cheering more for Kattappa then Bahubali"
"599","Someone sent me this on whatsaap and now I cant stop laughing  Bahubali"
"600","Go amp watch Bahubali move Its a beauty Value for your money"
"601","Enjoyed watching Indias biggest motion picture Bahubali its a visual treat"
"602","Go amp watch Bahubali move Its a beauty Value for your money"
"603","Equally surprising is no one asked ban on Bahubali as it is a COMMUNAL movie showing ShivLing"
"604","Its the jealousy of Bollywood which has emanated from the spectacular business that Bahubali is doing "
"605","Waiting for international version of BahubaliThe beginning English chinesejapanese russianamp many more languages"
"606","Seeking sex in return for favours is adults having consensual sex But two lovers having sex is rape Bahubali"
"607","Tragedy with Bahubali is it creates a strong female character then undermines her itself Happens in all film industries"
"608","baahubali bahubali stopped animal sacrifice n his mother frm follwing blind rituals isnt it the same thing which PK was trying to show"
"609","Jay HoBahubali "
"610","becosBahubalicreated by Telugu ppl u can not comment like this"
"611","Saw Bahubali today Must watch in cinemas"
"612","Whatsapp conversation between me amp my exMe Bahubali dekh ke aa Epic movie 10715She Bahubali still housefull 19715"
"613","ifsee Bahubali then this will happen to him"
"614","good movie Bahubali must be on your must watch list go enjoy the movie in big screen ceainly a match to big budget hollywood movie"
"615","I believe u will find this song as shameless profiling of Aryan Supremacy over Dravidians Bahubali"
"616","Bahubali perves choose to have an item song with ShivaAnd RWer dolts r having an orgasm about this movie"
"617","Amazing an avowed champion of free speech from MFS to PK like you resoing to nitpicking in a work of fiction Bahubali"
"618","I can see some flames coming from someones ego growup resulbaahubali bahubali"
"619","Feeling stupid in going with high hopes to see Bahubali But was a good wakeup call RWers r normally dolts handicapped with creative fields"
"620","and sir y r u so obsessed withnd Bahubali u have ur own set of fans who suppo you despite ur 12"
"621","Bollywood Khans will have to postpone the release of all their movies for atleast 1 month after Bahubali 2 release in 2016"
"622","Bahubali watched bahubali last weekI want to say one thing it is truly masterpiece"
"623","Awesome Flim Must Watch Bahubaliwatching Baahubali"
"624","We need intelligent recreation or enactment of past Hindu culture Bahubali doesnt do either Only wud appeal 2d basest instinct of a drunk"
"625","is box office superhit Bahubali a communal movie for you want to watch secular flop PK together"
"626","Such a tremendous film Bahubali I mean I love Romantic films but still Im a fan of Bahubali Spectacular"
"627","To those slamming Bahubali due to its ove Hindu jingoism they r lame Movie does more harm then good to any notion of past Hindu glory"
"628","Till Thursday Bahubaliis fullhave to watch BajrangiBhaijaan first now"
"629","Dont You Think Ppls Are Also much intrested in Bahubali But You are frequently Tweeting About Only BB So Unfair"
"630","Bahubali epic doodle"
"631","To idiots who are going gaga over Bahubali I feel sorry for u Sorry that u get ur kick at such an empty attempt in appeasing ur hindu need"
"632","Bahubali Nlr dist 10day share 2504 lks amp 10days Nlr dist total share 287cr"
"633","At best Bahubali is just a decent movie But honestly speaking its a C grade lascivious movie n uses Shivas iconography to mk easy buck"
"634","Hey moronthe movie Bahubali was not produced by your madam Sonias arch rival BJP so stop whining"
"635","Is that soI think you should demand a counselling center for all the traumatized women who have watched Bahubali"
"636","Playing listBajrangiBhaijaan Bahubali NW "
"637","SS Rajamoulis Bahubali Makes Rs 300 Crores in just 9 DaysSalman WhoBaahubaliStorm"
"638","In Maharashtra ppl r cancelling BajrangiBhaijaan movie tickets ndwatching Bahubali as i hd been to watch Bahubali but didnt get ticket"
"639","Bahubali is still running houseful even after releasing before BajrangiBhaijaan"
"640","Just Chill Stop politicising Bahubali or any movies Forgot shameless anti hindu anti India profiling in PK Haider"
"641","One of the best films ever Indian cinema could make is Bahubalimost beautiful actressPerfect castinggraphics and sets"
"642","Yup these days Bahubali is all it takes to get presstitudes hyper"
"643","Never b4 visual effects in any Indian Cinema as in Bahubali Gripping storyGreat Techawesome combi Superb"
"644","More the intellectuals ill criticize the Indian movie Bahubali the more publicity amp curiosity it is generating Lucky SS"
"645","Abey oh Tera chutiyapa band kar Bahubali was housefull for last one week in all the shows in all the theatre in HYD Samjha"
"646","The tribals saved bahubali and did you watch Kattappa thanking them after the Interval"
"647","That was indeed a nice try  This tweet is the best attempt so far in demonizing Bahubali"
"648","The only one I found interesting in Bahubali Katappa"
"649","Have no plan to watch Bahubali but astor speaking against Bahubali will watch movie"
"650","Watched Bahubali yesterday Clear message 4 Bollywood Rise above ur self obsessed ego amp false sense of superiority amp dump d Khans 4 good"
"651","Seriously Im wondering y Bahubali staed troubling adarshliberals all of a suddenseeing sevral nonissues raised offlate"
"652","When a wheeler dealer amp Presstitutes sta reviewing a FILM BahubaliU shud know d game planGive it back harder"
"653","Perfect comparison of Bahubali with evergreen Telugu classic LavaKusa of NTR another Hindu COMMUNAL movie D"
"654","Bahubali Banner 9Days 13176544 at Bhimavaram Town Record Prabhas"
"655","This too is made by me youll have to laugh even though if its not funnyBahubali"
"656","One More time Bahubali"
"657","Are the PinkDinks fighting for Kalakeyas already Bahubali"
"658","Bhaiwood is nervous about Indic responses to Bahubali and closing ranks Paid media jumping in One movie that will rule above all"
"659","Kattappa goal celebration Bahubali"
"660","And tats an amazing movie i hav watched Bahubali Bahubalistorm"
"661","This one is made by me so youll have to laugh even if isnt funny Hehe Bahubali"
"662","This one seriously made me laugh Bahubali"
"663","sir after watching Bahubali this was running in my mind all the time"
"664","Finally watched bahubali and have to say it has the amazing graphics wow what a creativity"
"665","A good movie from Indian Cinema First half was bit slow n boringremove those songs plz but second half you did awesome Bahubali"
"666","CouptaSinghvi didnt like bahubali Modi should"
"667","About to watch Bahubali excited"
"668","please watch BAHUBALI its best movie of indian history of cinemaIMDB rating 94 Bahubali"
"669","just finished spectacular Bahubali BulleShah tomorrow"
"670","OMG just amazingEmotional Voice amp feelAbdelSalamZayedAwaranOperationBahubali"
"671","Watched Bahubali just blown away I salute to hard work of"
"672","watched Bahubali Amazing directionget storybut cant c the conclusion nw waiting for the TheConclusion 2016"
"673","Forget about fucking telugu cant even stand hindi Bahubali"
"674","BahubaliWhoa What a movie Hats off to"
"675","My younger bro is a great fan of Telgu Cinema n I used 2 cicise him 4 thtAfter watching Bahubali now I understand that why he is fan"
"676","Bahubali did not turn out to be what I had expectedBut eye candy wisejurassic world could take a hint"
"677","gorgeous means some thing or someone to gorge yourself on VERY different from word beautiful  Bahubali"
"678","1hour into Bahubali amp its crap the song is typical south sleaze Bahubalistorm I hope it gets better till now its fail"
"679","and the same guy who scripted Bahubali"
"680","Didsaid they are tribals Dont try comment for sake Wr were u during PK bahubali"
"681","So we talkd abt sexism in Baahubali Can we also talk abt same apathy towards casual racism in Indianfilms TribalBlackBad WTF Bahubali"
